Cột 1,Cột 2,Cột 3,Cột 4,Cột 5,Cột 6,Cột 7
01/08/2026 11:31:13,Bao Ngoc Nguyen,GA7YPJ3XJPBJMDV7G7M4TCU6ILZTTWE5YV2BRUGSGG6BSK3MECZ5GHCD,bao.ngoc.nguyen@example.com,94185274c04a620c15034295bb3d27158666beee38eacc0f3eea6afefb510fb9,4,The items are organized in a way that makes them easy to find.
02/08/2026 10:14:58,Duc Anh Tran,GA62WFEBSZO335ODMA4F2E7M5H3XRGUD6YRV7NVL3LCXEKIGTTLAVUM2,duc.anh.tran@example.com,95d2031e2713005fd61647f28881bd38e01dcc704f0d41b27dfe09f211686be7,5,The supply overview is useful for checking data quickly.
02/08/2026 10:42:48,Phuong Linh Le,GDOYBIN56GALD5FB6PUWA5TNMEY6RVD4M2CS5PGUDKUASKNQW55GTKEQ,phuong.linh.le@example.com,bcb7e22f8c25d8b22f246f5a1e1dcd5b02afba20815db925e404231847d2faa0,5,The interface is simple enough for new users.
02/08/2026 13:07:21,Minh Khang Pham,GADSUGXPO3AER7PHA3CO3EFHQ5HKZMKR6GYQ3OZZWZ4EKGALYIZCHO3C,minh.khang.pham@example.com,3db1452cba00ed22065035fd19ce34c50f60a8622e204c187bbdb5e689394d5d,4,The important information is easy to spot.
03/08/2026 15:31:10,Thu Ha Vu,GAZIV5KG43K35LTYW5TAGDCWAV65OC6MLNJVDIUURB7YGXMTFJ56PCH6,thu.ha.vu@example.com,73e69dc5635b4bb9b2701b23c314273aa4b66c1138af9fcaf781c089bec7d681,3,The transaction hash is clearly displayed.
03/08/2026 19:09:04,Hoang Nam Do,GDW24KDUVXZGI6M2AMFX53TTQYAEVFCHRZAFJ726FCV22OCEZ5YFXY46,hoang.nam.do@example.com,844efff8b8d09ac35e898a34fc2c88fa91d04e4fe56bca68ff90e908d7909a9c,5,The data presentation is clean and readable.
03/08/2026 20:23:25,Ngoc Han Hoang,GBBZFRCVHNFTC3PX245XV7KPMCUKIIP6HKPIXUYGTBSJUVVHNBNJJLLK,ngoc.han.hoang@example.com,774965b78b8666af80ca7517f0493eab7fdfbbc477360bb1168a42de317ab919,4,The overall user experience is smooth.
03/08/2026 22:00:16,Quoc Bao Bui,GBPWTQYCRBKV7KUJ4ANJI5IFRVGMV4ZZH7SJOV7OAJPYNYLEU2DAR77L,quoc.bao.bui@example.com,76d55f819e3dcf9b12ed698218ba546823ac0466e27a176e052b3e07f3d396df,5,The wallet connection section is easy to find.
03/08/2026 22:03:57,Mai Anh Phan,GBMHIWFH65245UU262ZJKFE3TSKT5BAELWSKNQWK4A4DV7CVNXOVR4TQ,mai.anh.phan@example.com,050da17fe29464076ca3b5d77613b423ac95d34de6364e307d502a52dfccd671,4,The transaction data is presented in a straightforward way.
04/08/2026 7:27:30,Tuan Anh Vo,GDDY4MSLRF36MXMGBYOUNU2MABJ5HBQ54GGY6ISYLXTXHBCIWSJBB67X,tuan.anh.vo@example.com,a2da54418bdfa8778a4e9c8182dd5cb99ef37d257dba57343771ff599aef6746,3,The interface looks professional and well structured.
04/08/2026 18:02:21,Thanh Ha Nguyen,GA34I35IWEZSGP7Q4JKK7N5ESUU4TBSDLIFODJ4IH3PFDMIHWYKC6QFU,thanh.ha.nguyen@example.com,6515adb8bae76e12c3f354e4e103c071ab8a5653e63451b7b5185c3bdcdff143,5,The item and amount information are easy to follow.
04/08/2026 22:32:24,Gia Huy Tran,GBDEH5WM7SDMVHVXVXQWT2E5OZXXM7HRXSJ6VSG52BQGJHL3V7MJUFXK,gia.huy.tran@example.com,05a0d4a47607b0e90723e7b8afc82b63986095440d48854841055365757fb882,4,The page does not feel overloaded with information.
04/08/2026 23:37:12,Duc Long Le,GD4QY6JDB2MYVOTD5RKW3VWJJD3I6YETZ7RTOBDGAHUXPEQ25SM5YNHY,duc.long.le@example.com,07d4c93aa1244a71c730e697b06518cb86496723bcbdc0170264527716e859bf,5,Checking transaction details is convenient.
05/08/2026 21:50:38,Khanh Vy Pham,GCYQ4OCLOCH24EK6IB3IH3WXUG6DZ3MOTYBYVLLSTM6ZNYGK4JBHCVYS,khanh.vy.pham@example.com,a952e10a04b4533b77aa145f2088d6fdf89c947526afe280f363524750104ae1,4,The overall layout is consistent.
06/08/2026 2:14:27,Minh Quan Vu,GDKR72MBA3ORIZC6NTWVRXKXKR3IZSQIAX53TKIOI6FRJCCUQVIDUTA4,minh.quan.vu@example.com,6cf42f4b93e81e809a9f58cdc2e4494844ba6d052c5b00dde1e128a56e0c841f,5,The data lists are easy to scan.
06/08/2026 14:52:07,Hoai Nam Hoang,GB2WRHRDMHQFIRLNRNJVJAZI27JVASI6WP3NLLUWQRIYS5RDHMXXF4QE,hoai.nam.hoang@example.com,2e50f036875ee580a939a41e930d279c38d8c9a11007edf6d840d5be2c3466c7,3,The XLM amounts are clearly shown.
06/08/2026 15:59:28,Thuy Linh Do,GCTSOTSYS3ZP33LBMGUAXD3EL6NFOUH5QLAEBBHSDPYDIMWYROA3UPCX,thuy.linh.do@example.com,28492c494dfddadd24f6d5c32b017ea55dddafde99da42ea6c5ff22f8a893a6b,4,The main features are easy to access.
06/08/2026 16:31:42,Bao Long Bui,GC7PYBONNEPL63QYVYYVQF57G63VDOVAE36YTEQAPFNYGBDON6CBIOJJ,bao.long.bui@example.com,e98779626f4e0e615acdb0e15d743db596f486617d05e965c5e5fb40701faa15,5,The page works well for monitoring supply information.
06/08/2026 22:22:43,Ngoc Anh Phan,GBWKSHAKWG6634BKOT3Y676T6NZX4LJI6SLDNQT3B5ENIHBJX3UXCNIP,ngoc.anh.phan@example.com,2d3ee131d4c167ff38fac11f9743d4d70353c07a64e0dcab43a009903e54b986,4,It is easy to find information about individual transactions.
06/08/2026 22:33:57,Thanh Dat Vo,GDVPDRPMLNEWJYF4THYHDEKQVJNMOJW6QV63C7RR6EKSSNVKCBU4HM4W,thanh.dat.vo@example.com,ab9b99ef3015de138e5f1154b5c3eeaa19b0d82ce6024a9abff839491e2b05c1,5,The interface feels beginner-friendly.
06/08/2026 22:44:14,Minh Thu Nguyen,GCBTK2B7EGFHZNZSHSXIHCFC2FP4RPZO7DAPDAIGTT3US3MZINOCOM2W,minh.thu.nguyen@example.com,7f3e7000592f8b54033e0ba4fb06fdbbcd53829d25792602adb8277bf10f7666,3,The data is organized logically.
07/08/2026 10:36:54,Quang Minh Tran,GBQD72VK6GKJQETL6OIUCBHOVYJNLI3L5G34BIHXRXPM7PDZCAVDTL2B,quang.minh.tran@example.com,a7777a209e0c9c10e6df6cd1ed5fa8bf42035d5a9339bb6c8419165fc1d39024,4,The transaction status makes results easy to check.
07/08/2026 13:40:23,Gia Linh Le,GCVGMQPAYTQGDO2KVNFNP7VES5WA7GO5XNJS32EVMYPOTZW4NHMWFE34,gia.linh.le@example.com,53d6f40b528c9cf39a961d23829d2ce5071de5065125e68fb2c82305a93d11e3,5,The minimalist design works well.
08/08/2026 9:43:03,Duc Huy Pham,GBMNMQWKF3OFBDNFZBKKY7GM7YHMIW3E23BGJ2QZJB7KJYKA2ERRXT2R,duc.huy.pham@example.com,18d5469c0ef5b65298c531fd403bf04306288d2606b367f0995d0ece0ddc4fa2,4,The key data fields are clearly visible.
08/08/2026 13:53:07,Mai Phuong Vu,GBNCDFWKCYBFYW5QO7PHCNUENCKD64SEVXH3DON3MS547HTGUKRQCNRN,mai.phuong.vu@example.com,ee7f0e17c11dd0e198cab65eaac28347f9a73b9f6c0dcfda841f9b1991429cbb,5,The overall experience feels smooth and uncomplicated.
08/08/2026 14:44:21,Hoang Anh Do,GDHRZW2NSZF5RJXCO22YVA3AGYEBXDRBTADKHBRIFI34K3WXFLA3ERY7,hoang.anh.do@example.com,15c1fcc98fd4158a66df8022062552958fed0bf7f6a1f8dfdb9a46eaa1d6cbf8,5,The item list makes supply tracking convenient.
08/08/2026 19:47:31,Khanh Nam Hoang,GDNAU5IODLYH7J52IGHO5RNPHI2KVLKZURXKENJ7UGGPKQV7QMQ4D64Z,khanh.nam.hoang@example.com,f7189f4c385c448426553775b3ccf346b1e95deb4869954c7d20d86c883e3af6,4,The spacing and layout look clean.
09/08/2026 0:17:56,Bao Anh Bui,GCSUZHSSTCTNW3FKFVJXMBC7UL66DPSIYFAZPGGBAFVGNCTECOEUD5Z2,bao.anh.bui@example.com,fa8987d319291e0ada9f92c716e81d85e9ef1ef5051dd5da51fccecbbf80fe1f,3,The wallet information is easy to read and copy.
09/08/2026 8:50:14,Thanh Son Phan,GBYIE7WX6K5MMGN4YZF4ZPV6PSICXYCBV5RVEC5VOUKRWWGQ7CPY7SAC,thanh.son.phan@example.com,2f9abf275986be837c339c11b8c2c1a249af88a3d863ac300b8d3cbda9794f2e,5,Matching wallet and transaction information is convenient.
10/08/2026 16:47:11,Ngoc Linh Vo,GAGIUEDWYIVC5TFYNMIFUEHAUWDFOWVT5LZAJGDENDUUMNCYHGXHLFV5,ngoc.linh.vo@example.com,da3fecd63d952113c68a67900ada3ad5e67cdf37905a46da2edab4f1dca21a5d,4,The transaction details are grouped logically.
11/08/2026 2:55:27,Minh Duc Nguyen,GBVLBOEQDFQARWX4GGASVP37CRKYOQQR3HCK5RUXV7Q77ULEFLUQZVHY,minh.duc.nguyen@example.com,773b99b8430ecefda4da64ec3bb67433bc5706c4ebca26882aeb6b302d95341c,5,The page is useful for tracking Stellar supply data.
11/08/2026 2:56:41,Tuan Minh Tran,GBPN3RPFMJD5MI2NW4SVT6SV54JYQ2HMYX6H2RZKNGSD5LQTHHYQYCMI,tuan.minh.tran@example.com,873f2dc51be345b9ba03b749594a84bf9eba45135e0749fd7773b69ed63cf608,4,The overall layout is intuitive.
11/08/2026 7:55:01,Phuong Anh Le,GD2RML6ITZD6723TXXCM5PWTHOGMGO6J2Z63VEGGBMJHCGKYTGVSKZ5A,phuong.anh.le@example.com,4745a9d8166abc57044c698131461ac10cfe369dcbb242d9ac43660960501296,3,The transaction status is easy to understand.
12/08/2026 16:27:52,Quoc Huy Pham,GBOMLQHWIOT23RVR7KGVLSRUDIGXWXQSB3WZUZ5WS3KH5UC47K3F5VJO,quoc.huy.pham@example.com,59b10092967f79fe0949aa8032b6f55bb731766ff58cf0637b50f2acc0b4335a,5,The interface remains readable with multiple data points.
12/08/2026 21:42:30,Ha Linh Vu,GBFREBB7PJTRVKBQ6AUFHH6FEE6BSDI2TQPPF6NY27TUMERAUNMTO5NC,ha.linh.vu@example.com,255f5d32ee3b0720f775d898fd0eaf2edbacff95b6c1a417d675582f38e321c3,4,The most important information is easy to identify.
13/08/2026 4:09:36,Gia Nam Do,GACGM46UB4TBUTJTQASLSX4YIAEIXYG5FLO6Z6FWB5PJXI2AMNP5YRBV,gia.nam.do@example.com,854cd24e5583455082d67fc95c1f8da15427e30cfbd9882883d2f6c5c1b44cc4,5,The transaction tracking experience is good.
13/08/2026 21:16:30,Duc Khang Hoang,GC3JDFFODKZJXFCVSD2UT3OHNW5MEV35PQXAD54DAKWIGWTRIXKBKQHN,duc.khang.hoang@example.com,d4a8187533843f7fa83deac10bf8731c76b4a47d84b2fb2fbfb2be5b33037eb4,4,The data presentation is consistent throughout the page.
14/08/2026 14:14:05,Mai Ngoc Bui,GAWCU45FXNBC6X4C2CH5TZ4KTPW7LURWVQEE4BTQABGCBJKOUUDQBZ7Q,mai.ngoc.bui@example.com,2aa3bd3e5c9716aa5b047f605b6ab9da584d2e9e9ab21c4bb341c2884838ae00,5,The dApp has a simple and user-friendly interface.
14/08/2026 16:33:23,Thanh Minh Phan,GC565PHL4MAMGDGFE4LGNKVXC5XMZYTWKVXL7DCXEDPYUYEQ74KLW3KA,thanh.minh.phan@example.com,8e393929076806c7713c262b80b561ca70aafd91d02ae2d4cf5be96438f664e7,3,"The wallet, item, and transaction sections are clearly organized."
15/08/2026 4:38:42,Khanh Anh Vo,GD3F6GZLOLJXION2CXAOUKDG4JGYGB2YACQTG6SB6E366YJHHUWXGBD6,khanh.anh.vo@example.com,0b7ce3295e7c60043aeb0d21d0905a72680c67ddb22df251f6540dfe3730eda5,4,"Overall, the interface is easy to use for checking transaction data."
